БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
110440011537;ТОО «Коллекторское агентство «Golden Collection Group»;02.K.25.001;Хакимова Дана Нурахимовна;050000, г. Алматы, Ауэзовский район, ул. Кабдолова, 22Б;8 (727) 356 3544, 7-747 170 5534 (Тогжан, юрист) goldencollection.bank@gmail.com, www.http://goldencollection.kz/;14.02.2025;;;Действующее
250640008443;ТОО «Коллекторское агентство «JanaPay»;03.К.25.001;Тлеумбетов Еркин Маликович;Акмолинская область, город Кокшетау, улица Е.Н.Ауельбекова, д.41, кв. 22, почтовый индекс 020000;8 771 191 20 74;21.07.2025;;;Действующее
241140034336;ТОО «Коллекторское агентство «Legal Solutions»;02.К.24.011;Сералин Бауыржан Булатбекович;050000, город Алматы, Бостандыкский район, улица Едил Ергожина, д. 9, кв. 55;infolegalsolutions@mail.ru, http://legals.solutions.tilda.ws/ 77017509099, 7 747 661 7828;27.12.2024;;;Действующее
240240022750;ТОО «Коллекторское агентство «Loan finance»;17.К.24.003;Орымбаева Айғаным Спандиярқызы;Казахстан, г. Шымкент, район Туран, Улица Ахмета Байтурсынова, здание 81, почтовый индекс 160011;`+7-707-730-11-92, адрес электронной почты: loan-finance@bk.ru, интернет – ресурс: https://loan-finance.kz/;23.09.2024;;;Действующее
251040014578;ТОО «Коллекторское агентство «NORD COLLECTION»;17.К.25.004;Ахметова Айгуль Сабитовна;город Шымкент, Абайский район, массив Кайтпас-2, мкр.Достык-2, дом 220, почтовый индекс 160000;8-700-031-09-04 nordcollection@yandex.ru, http://nord-collection.kz/;29.12.2025;;;Действующее
250940015596;ТОО «Коллекторское агентство «Proffinance»;17.К.25.003;Әбдімаулен Әділ Рустемұлы;город Шымкент, район Туран, улица Т.Рыскулова, здание 10А, почтовый индекс 160000;8-707-160-66-68kaproffinance@mail.ru, http:// kaproffinance.kz/;17.12.2025;;;Действующее
240640019586;ТОО «Коллекторское агентство «Renaissance»;02.K.24.006;Ахмадеев Дмитрий Николаевич;050040, город Алматы, Бостандыкский район, Бульвар БУХАР ЖЫРАУ, дом 32, кв. 3;8 (707) 727 35 07, 7(700) 077 50 12, 8(701) 808 44 10, too_renaissance@bk.ru, www.renaissance.com.kz;09.08.2024;;;Действующее
241240036148;ТОО «Коллекторское агентство «Royal Collection»;09.К.25.001;Аралов Элдор Эрматугли;г.Алматы, Турксибский р-н, микрорайон Жулдыз-1, дом 1В, кв.7;8 705 812 8505, royal.collection@mail.ru;05.03.2025;;;Действующее
240840037432;ТОО «Коллекторское агентство «Seven»;02.К.24.009;Секенова Алия Нурлановна;Жамбылская область, город Тараз, улицаАйтеке Би, здание 3Е, почтовый индекс 080000;"Личный +7 701 104 1888; Для должников +77087736427 , сайт-sevencollect.kz; электронная почта info@sevencollect.kz";30.09.2024;;;Действующее
240840016777;ТОО «Коллекторское агентство «Soft Collection Group;02.К.24.010;ҚАНАТОВ АЛМАС ТАЛҒАТҰЛЫ;050000, г.Алматы, Бостандыкский район, улица Жандосова, 2, офис 316;"+7 777 222 29 49; + 7 705 514 81 57, softcollectiongroup@gmail.com";02.10.2024;;;Действующее
251240013696;ТОО «Коллекторское агентство «TrustLine»;09.К.26.001;Батрашев Маргулан Маратович;100009 / M01F2X7, Карагандинская область, город Караганда, район имени Казыбек би, проспект Бухар Жырау дом 75Г.;7(702) 000-1637, Email: office@trustline.kz;21.01.2026;;;Действующее
241240022277;ТОО «Коллекторское агентство «i-Finance»;02.K.25.002;Әлиханов Бағдәулет Әділұлы;050000, г. Алматы, Алатауский район, ул. Шишкова, д. 55, кв. 1;7 707 451 8909, 7 707 608 0606 kaifinance@mail.ru, https://i-finance.tilda.ws/;28.02.2025;;;Действующее
240440029516;ТОО «Коллекторское агентство «i-Invest»;01.К.24.003;Бериков Абдишапи Джамболатович;г. Астана, район Сарыарка, улица Иманжусипа Кутпанова, дом 18, кв. 46;8-776-978-47-75, e-mail: investca@mail.ru;05.06.2024;;;Действующее
240640006970;ТОО «Коллекторское агентство «Бастау»;01.К.25.001;СУНГАТОВ АСХАТ СРЫМБЕТОВИЧ;город Астана, район Сарыарка, улица Кенесары, дом 8, н.п. 110;8-707-038-58-67, Email: bastau.kollektor@internet.ru;10.04.2025;;;Действующее
240540015064;ТОО «Коллекторское агентство «Досудебное взыскание задолженности»;17.К.24.002;Жаппар Нұрдаулет Әбдіқалиұлы;160050, РК, Казахстан, город Шымкент, район Аль-Фарабийский, улица Ж. Адырбекова, 34;8 778 250 18 65, ka.dvz@mail.ru http://dvz-ka.kz.;31.07.2024;;;Действующее
140840003417;ТОО «Коллекторское агентство «НКК»;05.K.25.001;Даримбеков Алибек Муратбекович;B66M9P5, Алматинская область, Талгарский район, Бесагашский с.о., с.Бесагаш, ул. Райымбек батыр, 165;8-707-451-8909, a.darimbekov@aster.kz;29.07.2025;;;Действующее
250240028473;ТОО «Коллекторское агентство «Титан»;17.К.25.001;Тулегенова Камила Ержановна;Алматы, Ауэзовский район, улица Толе би, дом 302, почтовый индекс 050031;8 700 259 28 43, tuligenova1997@mail.ru;21.05.2025;;;Действующее
250940008206;ТОО «Коллекторское агентство Арбитраж Финанс»;02.K.25.006;Қалабайұлы Мәлік;050000, г.Алматы, Бостандыкский район, улица Жарокова, 217А, кв 172;7-702-066-0700, arbitrazhfinance@gmail.com, https://arbitrazh-finance.tilda.ws/;13.10.2025;;;Действующее
250640033058;ТОО «Коллекторское агентство Центр урегулирования»;02.К.25.004;Калиев Асыл Муратович;г. Алматы, Алатауский р/н, пр. Рыскулова д.276А, офис № 2;8-708-988-93-60, 8-776-978-47-75, e-mail: uregulirovaniacentr@gmail.com;07.08.2025;;;Действующее
250440039812;ТОО «Коллекторское агентство-7Collect»;02.K.25.003;ИСМАЙЛОВА АЙГУЛЬ БАБАШОВНА;050059, город Алматы, Бостандыкский район, Проспект Аль-Фараби, дом 21, н.п. 1196;ka7collect@bk.ru;16.06.2025;;;Действующее
240740008613;ТОО «Профессиональное коллекторское агентство»;02.K.24.007;Ерболов Канат Ерболулы;050004, г.Алматы, Алмалинский район, пр. Сейфуллина 404/67;87014497444, Prof.coll.ag2024@gmail.com, www.pkaq.kz;09.08.2024;;;Действующее
201040032735;"ТОО """"Коллекторское агентство ""ААА-Status""";17.К.20.007;Ahanov Kairat Narkulovich;050000, Shymkent, Karatau, Asar, Zhanakurylys street, 289;87753687199, aaa-status2020@mail.ru, aaa-status.kz;13.11.2020;10.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180440028732;"ТОО ""AS Enterprise Коллекторское агентство""";05.К.19.003;Садыкова Айгуль Бейсембаевна;050016, г. Алматы, Медеуский район, ул. Нусупбекова, д. 32, офис 512;+ 7 708 104 01 51, aseprise@gmail.com, www.asenterprise.kz;29.01.2019;04.02.2021;подпункт 2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160840003034;"ТОО ""Finance Almaty"" Collection agency (Коллекторское агентство ""Финанс Алматы"")";05.К.18.027;Әділов Ахат Серікулы;050062, г. Алматы, Ауэзовский район, ул. Кабдолова, д. 22Б, 607;8 (727) 356 35 40, info@acg.kz, www.financealmaty.kz;16.11.2018;24.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
151140013186;"ТОО ""Ispolnenie.kz"" Collection agency (Коллекторское агентство ""Исполнение.кз"")";05.К.18.028;Буркитбаев Ринат Лукпанович;050062, г. Алматы, Ауэзовский район, ул. Кабдолова, д. 22Б, 3 этаж;8 (727) 356 35 40, info@acg.kz, www.Ispolnenie.com;16.11.2018;24.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
100240012982;"ТОО ""Гражданско Правовое Юридическо-коллекторское агентство ""Барыс""";21.К.17.001;Ибраев Алмас;Кызылординская область, г.Кызылорда, пр.Абая, 25А, офис 21;8-777-422-6569, barys_info@mail.ru;22.12.2017;03.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190740026184;"ТОО ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ""Arystan""";53.К.19.009;Нурпеисов Аслан Сейтрахметович;г. Астана, район Есиль, улица Сыганак, д.25, н.п. 7а, этаж 7, БЦ «Ансар»;8-7172-790-485, arystan@nur-arystan.kz;20.09.2019;14.04.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640013682;"ТОО ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ""LEXON""";53.К.19.011;Искаков Ержан Асемханович;г. Астана, ул. Токпанова, 10;8-707-717-07-26, e.iskakov@lexon.kz;30.12.2019;01.07.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190840027661;"ТОО ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ""RVKA.KZ""";53.К.19.010;Сунгатов Асхат Срымбетович;г. Астана, район Сарыарка, проспект Женіс, д.79;8-705-136-68-43, rvka.kz@my.com;17.10.2019;15.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190340021981;"ТОО ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ""ЭКСПРЕСС РТ""";53.К.19.003;Жакина Айгерим Ембергеновна;г. Астана, улица Циолковского, дом 1/1;87018272187, sadvokasov.rustam@mail.ru;25.04.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200640000657;"ТОО ""Коллекторское fгентство ""TANDEM-PREMIUM""";01.К.20.004;Акылбеков Аскар Берикулы;г.Астана, Есильский район, ул. Ильяса Омарова, здание 3/1, офис 24;8 700 965 47 79, 8 700 965 47 85, 8 700 965 47 86, 8 701 556 00 07, электронная почта: too_tandem@mail.ru, https://tandem-01.kz;28.07.2020;04.12.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
050540006085;"ТОО ""Коллекторское Агентство ""Corporate Collection Company""";05.К.18.007;Алипова Тогжан Суйндыковна;050012, г.Алматы, Алмалинский район, улица Сейфуллина, дом 565/140, квартира 8;"8 (727) 239-11-43, 8(777) 007-19-62 togzhana@bk.ru; http://corporate-ca.kz/";13.02.2018;22.08.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
070940006559;"ТОО ""Коллекторское Агентство ""Fidelity Collection Services""";05.К.17.024;Касымов Бахрам Майдынович;050000, г.Алматы, Алмалинский район, ул. Казыбек би, д. 117, офис 607;260-68-76, 260-68-64, моб.тел: 8-701-220-55-03, Fcs_llp@mail.ru, www.fcs.kz;21.11.2017;24.12.2018;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200540012617;"ТОО ""Коллекторское Агентство ""QarjyNS""";01.К.20.002;Ахметжанов Нурмуханбет Сапаргалиевич;г.Астана, район Сарыарка, проспект Жеңіс, здание 79, оф. 320;8 776 977 33 05, электронная почта: qarjyns@mail.ru;13.07.2020;21.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
980240005119;"ТОО ""Коллекторское Агентство ""TITANIUM""";05.К.17.022;Манасбаев Айдын Сатанович;050008, г.Алматы, Бостандыкский район, улица Жандосова, дом 1/1;8 (727) 313-17-01, kuanishbaeva_g@titanium.kz, www.titanium.kz;16.11.2017;30.10.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160940025762;"ТОО ""Коллекторское Агентство ""Казахстан финанс надзор""";05.К.17.033;Мынбаев Бакыт Турдакынович;050012, г.Алматы, Алмалинский район, улица Карасай батыра, дом 123, офис 20;"+7 (727) 346-83-85; +7 (771) 395-05-35; too_ka_kfn@mail.ru; kakfn.kz";11.12.2017;31.12.2024;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
141240007976;"ТОО ""Коллекторское Агентство ""Коллектор Инвест""";53.К.17.002;Шынибеков Ердос Амантаевич;г. Астана, проспект Шакарима Кудайбердиулы, дом 17.;8(7172)78-50-84, 87022474004, astanacollinvest@gmail.com;09.11.2017;28.09.2023;подпункт 2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170640023380;"ТОО ""Коллекторское Агентство ""Специализированный Центр Коллекторских Услуг""";05.К.19.014;Щербаков Виталий Юрьевич;050026, г.Алматы, Алмалинский район, ул. Байзакова, здание 125, н.п. 2;"8-727-378-79-17; sccs2008@mail.ru www.kasccs.kz";21.06.2019;17.02.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180740034282;"ТОО ""Коллекторское Агентство (Легал Коллекшн)""";12.К.18.001;Бопежанова Рита Маратовна;060000, Атырауская область, г. Атырау, улица Махамбет Өтемісұлы, здание 134А;87013489710, too-legal@yandex.kz;15.10.2018;17.10.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190240013134;"ТОО ""Коллекторское Агентство Activ Bussiness Collection""";12.К.19.001;Есмурзина Орынша Женисовна;060000, Атырауская область, г. Атырау, улица Сатпаева 78, офис 103;87774367733, orka_81@mail.ru;15.05.2019;13.05.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201040030005;"ТОО ""Коллекторское агентство ""2 QAZ Collection""";02.К.21.001;Леман Максим Васильевич;г.Астана, район Есиль, ул. Е-489, д. 5, кв. 102;8 747 756 57 14, maxleman131@gmail.com, 2qazcollection.kz;21.01.2021;21.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
191240004910;"ТОО ""Коллекторское агентство ""ASQ""";58.К.19.008;Аханов Азат Махмутович;г.Шымкент, Аль – Фарабийский район, улица Абдуразакова, дом 1, почтовый индекс 160000;тел: +7-702-389-36-02, +7-707-710-09-09, Aza_brd@mail.ru;24.12.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740022621;"ТОО ""Коллекторское агентство ""Adal Collection""";02.К.20.014;Местечкина Ксения Геннадьевна;050046, г. Алматы, Бостандыкский район, улица Егизбаева, дом 54б, офис 8;8-701-794-09-94, adalcollection@mail.ru, www.adalcollection.kz;11.08.2020;11.11.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180140036415;"ТОО ""Коллекторское агентство ""Adelaide""";58.К.18.001;Бошкаев Дархан Муханович;160000, г.Шымкент, Аль-Фарабийский район, проспект Байдибек би, здание 95 А, почтовый индекс 160000;"+7 771 934 36 76, +7701 384 14 14 tooadelaide@gmail.com; www.adelaide.kz";19.02.2018;20.02.2025;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
121140009757;"ТОО ""Коллекторское агентство ""Alatau Collection Company""";05.К.18.008;Ещенко Олег Юрьевич;050012, г. Алматы, Алмалинский район, пр. Сейфуллина, д. 565/140, кв.8;8 (727) 239-11-44 http://alatau-ca.kz;14.02.2018;19.08.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200940018016;"ТОО ""Коллекторское агентство ""Alfa Collection""";02.К.20.032;Шукпутов Даурен Ахметжанович;050000, г.Алматы, Медеуский район, микрорайон КОК-ТОБЕ, улица Камар сулу, дом 55, кв. 22;+7701-333-0770, d.shukputov@mail.ru, www.alfacollection.kz;15.12.2020;04.03.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
121040001391;"ТОО ""Коллекторское агентство ""Almaz kontakt""";53.К.17.001;Садвокасов Рустам Телепергенович;г. Астана, улица Циолковского, дом 1/1, ВП-7;8(7172)95-19-35, Almaz.kontakt@bk.ru;02.10.2017;16.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
191140021838;"ТОО ""Коллекторское агентство ""BNN CROUP""";08.К.20.001;Тен Михаил Маркович;г. Шымкент, Аль-Фарабийский район, ул.Калдаякова, д.1/3, кв.10, почтовый индекс 160000;87027730269, bnngroup@bk.ru;02.03.2020;12.04.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180540014409;"ТОО ""Коллекторское агентство ""Best Collection""";05.К.18.022;Ташенов Алмас Миргалиұлы;"050046, г. Алматы, Бостандыкский район, ул. Сатпаева д. 69 ""А"", офис 203";"8 (727) 224-39-45, Bestcollection_kz@hotmail.com; www.bestcollection.kz;";24.08.2018;24.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
171040041161;"ТОО ""Коллекторское агентство ""COMPANY PROFESSIONALS""";05.К.20.001;Козлова Валентина Александровна;Алматинская область, Талгарский район, г. Талгар, улица Оралхан Бөкеев, дом 1Б;87772202053, as_climate@bk.ru, www.pcca.kz;21.04.2020;07.07.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181040004624;"ТОО ""Коллекторское агентство ""Capital Security""";53.К.18.008;Тлеулесов Бигали Жаксылыкович;г. Астана, проспект Абая, здание 95/1, кв.2;87015807878 электронная почта: ka_capital@mail.ru;01.11.2018;02.07.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740019730;"ТОО ""Коллекторское агентство ""Collect Finance""";02.К.20.015;Мирзоев Везир Князович;050017, г.Алматы, Жетысуйский район, мкрн.Кемел, ул.Есим Хан, д.42в;8-777-711-03-13, collectfinance@mail.ru, www.collectfinance.kz;12.08.2020;27.01.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
230540009632;"ТОО ""Коллекторское агентство ""Collectica""";17.К.23.001;Ержан Нұрислам Ержанұлы;Казахстан, г. Шымкент, Каратауский район, жилой массив Мартобе, улица Леонова, 55, почтовый индекс 160023;8-747-661-78-28, 8-775-243-04-46, collectica23@mail.ru, http:// www.collectica.kz;02.08.2023;28.08.2023;подпункт 1-2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200840004333;"ТОО ""Коллекторское агентство ""D.C.T.""";02.К.20.020;Сарчаев Серик Эрикович;050000, г. Алматы, Алмалинский район, Проспект Нұрсұлтан Назарбаев, здание 103, оф.832а;8-701-888-6500, dct.collector@gmail.com;21.09.2020;05.06.2023;подпункт 1-2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180540032764;"ТОО ""Коллекторское агентство ""Debitor""";58.К.18.016;Жумашов Галымжан Тансарбаевич;"Место нахождения: г.Шымкент, Аль-Фарабийский район, ул.Туркестанская, 67; фактический адрес: г. Шымкент, ул.Толстого, 38А";тел. +7 776 996 99 77 ka_debitor.kz@mail.ru;18.07.2018;08.11.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181240004710;"ТОО ""Коллекторское агентство ""Debitum""";18.К.18.004;Кушумбаев А.И.;100000, Карагандинская область, г. Караганда, ул.Космоновтов здание 1 Л;87473030777, e-mail: alibi.k@mail.ru;14.12.2018;26.01.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200940014579;"ТОО ""Коллекторское агентство ""Effective DebtCollection""";02.К.20.030;Ауесова Динара Ержановна;A15G5M8, г. Алматы, Бостандыкский район, ул. Айманова, дом 140, кв. 270;87273304335, 87055626164, Auesova_din@mail.ru www.debtcollection.kz;16.11.2020;31.12.2024;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181240027472;"ТОО ""Коллекторское агентство ""Execution collection""";53.К.19.001;Тулегенова Аида Данияровна;г. Шымкент, Енбекшинский район, улица МАДЕЛИ КОЖА, дом 166, почтовыйиндекс 010010;8-702-778-64-64, execution.coll@mail.ru;13.03.2019;29.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
150840022930;"ТОО ""Коллекторское агентство ""Expert Finance""";05.К.17.028;Лубошников Владимир Юрьевич;050000, г.Алматы, Бостандыкский район, ул. Сатпаева, дом 30/9;8 (727) 398-93-01, info@exfin.kz, www.exfin.kz;04.12.2017;05.01.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201040030500;"ТОО ""Коллекторское агентство ""Field""";17.К.20.006;Ташенов Исагали Каракулович;г. Шымкент, Аль-Фарабийский район, улица Толеген Тажибаева, дом 20 почтовый индекс 160013;8-771-018-55-50, ka-field@mail.ru;13.11.2020;27.12.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
220440046691;"ТОО ""Коллекторское агентство ""Finance Control""";02.K.22.007;Өмірбек Тоқжан Өмірбекқызы;050009, г. Алматы, Алмалинский район, проспект Абая, дом 151, БЦ Алатау, 6 этаж;8-702-929-72-29 financecontrol@gmail.com, ttogjann@mail.ru www.http://finance.org.kz/;03.06.2022;31.12.2024;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
231140005975;"ТОО ""Коллекторское агентство ""Finance fix""";02.K.23.016;Еспембетов Канат Болатович;А00Е0М9, г. Алматы, Алатауский район, Мкр. Аккент, здание 15, офис 69;8-707-528-93-55, Finance_fix@inbox.ru, www.finfix.kz;15.12.2023;13.12.2024;подпункт 2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740022423;"ТОО ""Коллекторское агентство ""Fleet Finance""";02.К.20.016;Тоқтыбаева Салтанат Бауыржанқызы;050060, г.Алматы, Бостандыский район, проспект Гагарина, дом 309, н.п. 369;8-708-190-59-81, fleetfinance@mail.ru, www.fleetfinance.kz;12.08.2020;18.11.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200240041997;"ТОО ""Коллекторское агентство ""GS""";08.К.20.002;Урустенова Тогжан Урустенкызы;080000, Жамбылская область, г.Тараз, улица Ыбырайыма Сулейменова, 8/1;87071719296, , urustenova96@bk.ru;08.06.2020;14.10.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210440000433;"ТОО ""Коллекторское агентство ""Gallus Finance""";02.K.21.009;Альтаева Адия Булатовна;A00P9A1, г.Алматы, Алатауский район, микрорайон Самгау, улица Куренбел, дом 16, корпус 1;8-701-629-55-75, info@gallus-finance.kz;03.06.2021;22.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140005516;"ТОО ""Коллекторское агентство ""Global Collect""";53.К.19.002;Исмаилов Даурен Дулатович;г. Астана, улица Кошкарбаева, дом 40/1, кв.132;87772846902, Globalcollect.kz@mail.ru;19.03.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
110440011537;"ТОО ""Коллекторское агентство ""Golden Collection""";02.К.20.022;Мергенбаев Тлеужан Мергенбаевич;050000, г. Алматы, Ауэзовский район, улица Кабдолова, дом 22Б, офис 608;8-727-356-35-44, info@goldencollector.kz, сайт - www.goldencollector.kz;25.09.2020;31.12.2024;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640011656;"ТОО ""Коллекторское агентство ""Imperium """;58.К.18.018;Шекербеков Ақтөре Байдәулетұлы;"Местонахождение; г.Шымкент, Енбекшинский район, проспект Жибек жолы, здание 3, кв.45. Фактический адрес: г.Шымкент, ул.Токаева, 27/2, 5 этаж";тел: 8 -701-384-14-14, tooimperium@gmail.com / tooimperium.site;07.08.2018;05.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
120940009852;"ТОО ""Коллекторское агентство ""JA Collection Company""";05.К.18.009;Нуршаихова Жаннат Азильхановна;050012, г. Алматы, Алмалинский район, пр. Сейфуллина, д. 565/140, кв.8;8 (727) 239-11-42 http://ja-ca.kz;23.02.2018;22.08.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181040030475;"ТОО ""Коллекторское агентство ""Jibek Group""";58.К.19.004;Әбиев Дінмұханбет Бахытұлы;"юр. Адрес: г.Шымкент, Каратауский район, мкр.Нурсат, дом 200, кв.13, почтовый индекс 160000; Фактический адрес: г.Шымкент, Аль-Фарабийский район, ул.Казыбек би, дом19, офис 300";тел: 8 7010715252 JibekGroup@gmail.com;14.05.2019;10.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200540002075;"ТОО ""Коллекторское агентство ""KAN""";02.К.20.010;Кудабаев Аркадий Камалович;050000, г.Алматы, Алмалинский район, улица Масанчи, 26, офис 308;+7 701 755 4369, a.kudabayev@gmail.com, www.kollktorkan.kz;14.07.2020;24.10.2024;Қазақстан Республикасының «Коллекторлық қызмет туралы» Заңының 9-бабының 1-тармағы 2) тармақшасы;Исключено
200640002049;"ТОО ""Коллекторское агентство ""Kaz Collekshn""";17.К.20.001;Бименов Алдаберген Талгатович;160000, г. Шымкент, Абайский район, Микрорайон Самал-1, улица О.Малкарова, дом 45;8-701-128-85-83, kazcollekshn@bk.ru;10.08.2020;27.12.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180440008788;"ТОО ""Коллекторское агентство ""Kaz Dolg Collection""";29.К.18.002;Ақылбекова Ақниет Абдразаққызы;г.Шымкент, Енбекшинский район, квартал 194, дом 2819;8-707-525-9311, kd_collection@mail.ru;25.10.2018;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190840016292;"ТОО ""Коллекторское агентство ""Kaz Finance Collection""";58.К.19.006;Сапаров Нурдилла Сулейманович;г.Шымкент, Аль – Фарабийский район, улица Курмангазы, дом 4, почтовый индекс 160013;тел: +7-701-775-82-93, Saparov.nurdilla.kfs@mail.ru , Abilov.b_kfs@mail.ru;20.09.2019;03.03.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200940003909;"ТОО ""Коллекторское агентство ""L-Consulting""";02.К.20.024;Жикебаев Алмас Сабырович;050010, г.Алматы, Медеуский район, ул. Калдаякова, 34/29, 9;87057292919, +7 (701) 084-54-56, info@l-consulting.kz, www.l-consulting.kz;05.10.2020;04.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140021736;"ТОО ""Коллекторское агентство ""LCS""";05.К.19.010;Кокымбаев Ануар Наурызбаевич;050000, г.Алматы, Бостандыкский район, пр.Абая, д.76;"8 747 289 54 34; collector@lcs.asia; www.lcs.asia";17.05.2019;16.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190340032065;"ТОО ""Коллекторское агентство ""LIDER""";05.К.19.009;Крутиков Никита Дмитриевич;050000, г. Алматы, Медеуский район, пр.Аль-Фараби, д.110 Б;"8 700-680-5160; n.krutikov@bbg.kz; www.lider-agency.kz.";03.05.2019;29.01.2026;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
211140006890;"ТОО ""Коллекторское агентство ""Legal Collection Group""";02.К.22.001;Нурлыбаева Алина Жамбылқызы;050026, г.Алматы, Алмалинский район, улица Карасай Батыра, дом 152/1, офис 503;+7-747-666-04-02, kalegalgroup@gmail.com, www.ka-lcg.kz;12.01.2022;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
