Название суда;Категория;Регион;Председатель/Руководитель;Адрес;Телефоны;E-mail;Режим работы
Специализированный межрайонный административный суд города Кызылорда;Специализированный административный суд;Кызылординская область;Мырзатаева Гульжан Жалгасбаевна;Кызылординская область, г.Кызылорда, ул.Айтеке Би 29;-;-;
Специализированный суд по административным правонарушениям города Кызылорда;Специализированный административный суд;Кызылординская область;Ибрашев Мейрамбек Шамауович;Кызылординская область, г.Кызылорда, ул.Айтеке Би 29;8-7242-55-97-52;110201@sud.kz;
Специализированный межрайонный экономический суд Кызылординской области;Специализированный экономический суд;Кызылординская область;Елишбеков Бахытбек Есенгельдыулы;Кызылординская область, г.Кызылорда, ул.Айтеке би, 29;8-7242-55-98-49;110202@sud.kz;
Специализированный межрайонный суд по уголовным делам Кызылординской области;Суд по уголовным делам;Кызылординская область;Сабыров Асхат Аббасович;Кызылординская область, г.Кызылорда, ул.Айтеке би 29;8-7242-55-97-68;110213@sud.kz;
Специализированный следственный суд города Кызылорды Кызылординской области;Следственный суд;Кызылординская область;Турганбаев Марат Айтбаевич;Кызылординская область, г.Кызылорда, ул.Айтеке би 29;8-7242-55-97-74;110258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Кызылординской области;Суд по делам несовершеннолетних;Кызылординская область;Абдуллаев Канатбек Амангелдиевич;Кызылординская область, г.Кызылорда пос.Тасбогет, ул.Шукурова, 9;8-7242-21-60-10;110214@sud.kz;
Администратор судов по Кызылординской области;Администратор судов (Судебная администрация);Кызылординская область;Сулеймен Сагатбек Болатбекулы;"Кызылординская область, г.Кызылорда ул.Айтеке Би 29;";8-7242-55-12-02;724-0400@sud.kz;
Мангистауский областной суд;Областной суд;Мангистауская область;И.о. Карабаев Ержан Усерханулы;"Мангистауская область, г.Актау, 8 мкр, 39""В""";8-7292-70-14-04;1201@sud.kz;
Актауский городской суд;Городской суд;Мангистауская область;Шайдуллин Бауыржан Жауымбайулы;Мангистауская область, г.Актау,24 мкр., здание 1;8-7292-44-02-85;120201@sud.kz;
Жанаозенский городской суд;Городской суд;Мангистауская область;Токбаев Бауыржан Калмуханович;Мангистауская область, г.Жанаозен, мкр.Шанырак, ул.Строительная,1;8-7293-47-18-60;120205@sud.kz;
Суд № 2 города Актау;Городской суд;Мангистауская область;Бейсенов Рахымжан Сейшович;Мангистауская область, г.Актау, 3 мкр., здание 101:;8-7292-70-14-58;120202@sud.kz;
Бейнеуский районный суд;Районный суд;Мангистауская область;Орахов Габиден Алуадинович;Мангистауская область, Бейнеуский район, село Бейнеу, проспект Независимости,14:;8-72932-29-77-52;120211@sud.kz;
Каракиянский районный суд;Районный суд;Мангистауская область;Бердиков Сериккали Каникешович;Мангистауская область, Каракиянский район, пос.Курык, ул.Досан Батыра,4;8-7293-72-11-00;120207@sud.kz;
Мангистауский районный суд;Районный суд;Мангистауская область;И.о. Алдабергенов Марат Сейсенбаевич;Мангистауская область, Мангистауский район, пос.Шетпе, ул.Цетральная, участок 35;8-7293-12-20-16;120208@sud.kz;
Мунайлинский районный суд;Районный суд;Мангистауская область;Наурзбаев Серик Туяханович;Мангистауская область, Мунайлинский район, ст.Мангистау, ул.Әбіш Кожа, зд.Общественных организации, 2 этаж;8-7292-75-03-13;120210@sud.kz;
Тупкараганский районный суд;Районный суд;Мангистауская область;Бегенов Едиге Берекетович;Мангистауская область, Тупкаранский район, г.Форт-Шевченко, ул.Абдыкалыкова;8-7293-82-22-77;120209@sud.kz;
Специализированный административный суд города Актау;Специализированный административный суд;Мангистауская область;Бозшагулов Каржау Казтурганович;"Мангистауская область, г.Актау, 8 мкр, 39""В""";8-7292-70-14-77;120204@sud.kz;
Специализированный административный суд города Жанаозен;Специализированный административный суд;Мангистауская область;Джумабаев Серик Сабитович;"Мангистауская область, г.Жанаозен, мкр.Самал, дом 21""Б""";8-7293-41-1-79;120206@sud.kz;
Специализированный суд по административным правонарушениям города Актау;Специализированный административный суд;Мангистауская область;Бозшагулов Каржау Казтурганович;"Мангистауская область, г.Актау, 8 мкр, 39""В""";8-7292-70-14-77;120204@sud.kz;
Специализированный межрайонный экономический суд Мангистауской области;Специализированный экономический суд;Мангистауская область;Тленов Айдарбек Шапагатович;"Мангистауская область, г.Актау, 8 мкр, 39""В"";";8-7292-70-14-47;120203@sud.kz;
Специализированный межрайонный суд по уголовным делам Мангистауской области;Суд по уголовным делам;Мангистауская область;Досетов Иниятулла Раушабекович;Мангистауская область, г.Актау, 3 мкр., здание 101:;8-7292-70-14-52;120212@sud.kz;
Cпециализированный следственный суд города Актау Мангистауской области;Следственный суд;Мангистауская область;Елемесов Бауыржан Жаумитбаевич;"Мангистауская область, г.Актау 8 мкр, 39 ""В""";-;120258@sud.kz;
Специализированный межрайонный суд по делам несоверннолетних Мангистауской области;Специализированный суд;Мангистауская область;Шамгунова Лариса Тлемисовна;Мангистауская область, г.Актау, 3 мкр., здание 101:;8-7292-70-14-81;120213@sud.kz;
Администратов судов по Мангистауской области;Администратор судов (Судебная администрация);Мангистауская область;Калпаков Аманбек Шыршыгулович;"Мангистауская область, г.Актау, 8 мкр, 39""В""";8-7292-70-14-08;1201@sud.kz;
Павлодарский областной суд;Областной суд;Павлодарская область;Караманов Бахытжан Садвакасович;"Павлодарская область г.Павлодара ул.Площадь Победы.1;";8-7182-70-45-66;1401@sud.kz;
Аксуский городской суд;Городской суд;Павлодарская область;Дайкенов Марат Темирболатович;"Павлодарская область г.Аксу, ул.Строителей,12;";8-71837 5-04-87;140201@sud.kz;
Павлодарский городской суд;Городской суд;Павлодарская область;Жаманбаев Бакытберген Мейрханович;"Павлодарская область г.Павлодар, ул.Генерала Дюсенова, 80;";8-7282-66-08-34;140211@sud.kz;
Суд №2 города Павлодар;Городской суд;Павлодарская область;Каирбеков Нурлан Максутулы;Павлодарская область г. Павлодар, ул. Генерала Дюсенова, 11;8-7182-51-31-66;140212@sud.kz;
Экибастузский городской суд;Городской суд;Павлодарская область;Сәрсен Руслан Төлеубайұлы;Павлодарская область г. Экибастуз, ул.Кунаева ,42;8-7187-79-99-03;140214@sud.kz;
Актогайский районный суд;Районный суд;Павлодарская область;Кенишев Серик Болатказыевич;"Павлодарская область Актогайский район, село Актогай, ул Абая, 102;";8-7184-12-15-85;140203@sud.kz;
Баянаульский районный суд;Районный суд;Павлодарская область;Даньярова Сауле Хайрбековна;Павлодарская область Баянаульский район, село Баянаул, ул.Ауэзова,116;8-7184-09-13-45;140218@sud.kz;
Железинский районный суд;Районный суд;Павлодарская область;Сыздыков Абай Канатович;Павлодарская область Железинский район, село Железинка ул.Независимости 21;8-7183-12-22-24;140204@sud.kz;
Иртышский районный суд;Районный суд;Павлодарская область;Нуржанова Динара Кабдылманаповна;Павлодарская область Иртышский район, село Иртышск , ул Астаны, 153;8-71832-2-13-75;140205@sud.kz;
Качирский районный суд;Районный суд;Павлодарская область;И.о. Көдек Дәния Бикенқызы;"Павлодарская область Качирский район, село Теренколь, ул.Ибраева, 140;";8-71833-21-8-42;140206@sud.kz;
Лебяжинский районный суд;Районный суд;Павлодарская область;Каримов Каирбулат Канатович;Павлодарская область Лебяжинский район, село Акку, ул.Абылкаира Баймолдина, 21;8-7183-92-14-09;140207@sud.kz;
Майский районный суд;Районный суд;Павлодарская область;Калкен Ержан Ермекулы;"Павлодарская область Майский район, село Коктобе, ул.Сыздыкова,1;";8-7183-89-14-49;140208@sud.kz;
Павлодарский районный суд;Районный суд;Павлодарская область;И.о. Жангазина Галия Шаметовна;"Павлодарская область г.Павлодар, ул.Генерала Дюсенова, 80;";8-7182-60-62-92;140213@sud.kz;
Успенский районный суд;Районный суд;Павлодарская область;И.о. Ахмет Амантай;"Павлодарская область Успенский район, село Успенка, ул.10 лет Независимости,2;";8-7183-49-11-45;140216@sud.kz;
Щербактинский районный суд;Районный суд;Павлодарская область;И.о. Сәдуәқас Сәкен Жанабетұлы;Щербактинский район, село Щербакты, ул.Ленина,31;8-7183-62-28-33;140217@sud.kz;
Специализированный межрайонный административный суд города Павлодара;Специализированный административный суд;Павлодарская область;Бактияров Адлет Сайранович;"Павлодарская область г.Павлодар, ул.Генерала Дюсенова, 80;";-;-;
Специализированный межрайонный административный суд города Экибастуза;Специализированный административный суд;Павлодарская область;Нургалиев Талгат Каирбаевич;Павлодарская область г.Экибастуз, ул.Пшембаева, 31;-;-;
Специализированный суд по административный правонарушениям города Экибастуза;Специализированный административный суд;Павлодарская область;И.о. Курмангалиев Ринат Узакович;Павлодарская область г.Экибастуз, ул.Пшембаева, 31;8-7187-77-65-30;140215@sud.kz;
Специализированный суд по административным правонарушениям города Павлодара;Специализированный административный суд;Павлодарская область;Омаров Нуржан Алибекович;"Павлодарская область г.Павлодар, ул.Чокина, 148 а;";8-7182-31-01-31;140209@sud.kz;
Специализированный межрайонный экономический суд Павлодарской области;Специализированный экономический суд;Павлодарская область;И.о. Ерболатов Ернар Ерболатулы;Павлодарская область г.Павлодар, ул.Генерал Дюсенова,104;8-7182-32-42-06;140210@sud.kz;
Специализированный межрайонный суд по уголовным делам Павлодарской области;Суд по уголовным делам;Павлодарская область;Нуркиев Асхат Габдрауфович;"Павлодарская область г.Павлодар, ул.Генерала Дюсенова, 80;";8-7182-60-47-00;140219@sud.kz;
Специализированный следственный суд города Павлодара Павлодарской области;Следственный суд;Павлодарская область;Нургалиев Ардак Темешбаевич;Павлодарская область, г.Павлодар, ул. Генерала Дюсенова, 11;8-7182-51-31-60;140212@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Павлодарской области;Суд по делам несовершеннолетних;Павлодарская область;Темирова Каламкас Абылдиновна;"Павлодарская область г.Павлодар, ул.Генерала Дюсенова, 80;";8-7182-62-26-51;140220@sud.kz;
Администратор судов по Павлодарской области;Администратор судов (Судебная администрация);Павлодарская область;Жумамуратов Азамат Аллабергенович;Павлодарская область, г.Павлодар, ул. Пл.Победы, 1;8-7182-70-45-33;718-0098@sud.kz;
Северо-Казахстанский областной суд;Областной суд;Северо-Казахстанская область;Айтжанов Ерлан Жумаханович;"Северо-Казахстанская область, г. Петропавловск, ул. Конституции Казахстана, 3;";8-7152-55-11-11;1501@sud.kz;
Петропавловский городской суд;Городской суд;Северо-Казахстанская область;Гусев Михайл Михаилович;Северо-Казахстанская область, г.Петропавловск ул.Горького, 209;8-7152-46-29-43;150205@sud.kz;
Районный суд № 2 Айыртауского района;Городской суд;Северо-Казахстанская область;И.о. Сеитова Сагдат Сапаровна;Северо-Казахстанская область, Айыртауский район с.Арыкбалык ул.Кирова,22;8-7153-34-15-51;150213@sud.kz;
Районный суд № 2 Тайыншинского района;Городской суд;Северо-Казахстанская область;Альназиров Кайрош Бейсекович;Северо-Казахстанская область, Тайыншинский район, с.Келлеровка ул.Ленина 116;8-7153-65-16-00;150208@sud.kz;
Районный суд № 2 района им. Г.Мусрепова;Городской суд;Северо-Казахстанская область;И.о. Кочубаев Асылхан Болатович;Северо-Казахстанская область, район им. Г.Мусрепова, с.Чистополье ул.50 лет Октября -98;8-7153-54-100-4;150211@sud.kz;
Районный суд № 3 Тайыншинского района;Городской суд;Северо-Казахстанская область;И.о. Жумабаева Алтынай Сембаевна;Северо-Казахстанская область, Тайыншинский район с. Чкалово ул. Гагарина, 28;8-7153-67-08-81;150209@sud.kz;
Суд №2 города Петропавловск;Городской суд;Северо-Казахстанская область;Ибраев Ерлан Тенбаевич;"Северо-Казахстанская область, г. Петропавловск, ул. Брусиловского, 60;";8-7152-55-50-01;150206@sud.kz;
Айыртауский районный суд;Районный суд;Северо-Казахстанская область;И.о. Койлыбаев Сания Нургалиевна;Северо-Казахстанская область Айыртауский район, с.Саумалколь, ул.Достык, 45;8-7153-32-25-96;150212@sud.kz;
Акжарский районный суд;Районный суд;Северо-Казахстанская область;И.о. Аргимбаева Карлыгаш Кайргельдиновна;Северо-Казахстанская область Акжарский район с. Талшик ул. Целинная 2;8-7154-62-13-40;150214@sud.kz;
Аккайынский районный суд;Районный суд;Северо-Казахстанская область;Алиев Мухтар Молдабаевич;Северо-Казахстанская область Аккайынский район с.Смирново, ул. Зеленая, 19;8-7153-22-24-04;150215@sud.kz;
Есильский районный суд;Районный суд;Северо-Казахстанская область;Куниязов Зафарбек Сохпатбекович;"Северо-Казахстанская область, Есильский район, с. Явленка ул. Ленина, 3;";8-7154-32-15-91;150216@sud.kz;
Жамбылский районный суд;Районный суд;Северо-Казахстанская область;И.о. Жиенбаева Газиза Куантаевна;Северо-Казахстанская область, Жамбылский район с.Пресновка ул Батырева;8-7154-42-11-45;150217@sud.kz;
Кызылжарский районный суд;Районный суд;Северо-Казахстанская область;Смагулов Танат Орынбаевич;Северо-Казахстанская область, Кызылжарский район, а. Бесколь, ул. Комарова, 1;8-7153-82-16-01;150218@sud.kz;
Мамлютский районный суд;Районный суд;Северо-Казахстанская область;И.о. Еганова Елена Владимировна;Северо-Казахстанская область, г. Мамлютка ул. Ленина, 44;8-7154-12-18-41;150219@sud.kz;
Суд района М.Жумабаева;Районный суд;Северо-Казахстанская область;Әріпхан Нартай Әскербекұлы;Северо-Казахстанская область, г.Булаево ул.Абая 22 район М.Жумабаева;8-7153-12-19-74;150220@sud.kz;
Суд района Шал акын;Районный суд;Северо-Казахстанская область;Курынова Татьяна Борисовна;Северо-Казахстанская область, г.Сергеевка ул.Победы.44;8-7153-42-05-08;150223@sud.kz;
Суд района им. Г.Мусрепова;Районный суд;Северо-Казахстанская область;И.о. Балгабекова Гульжанат Жолаушиновна;Северо-Казахстанская область, район им. Г.Мусрепова, с.Новоишимское, ул.Аблай-хана,34;8-7153-52-17-90;150210@sud.kz;
Тайыншинский районный суд;Районный суд;Северо-Казахстанская область;Парманов Асхар Сагындыкович;Северо-Казахстанская область, г. Тайынша ул. Конституции Казахстана 199;8-7153-62-29-74;150207@sud.kz;
Тимирязевский районный суд;Районный суд;Северо-Казахстанская область;Альжанова Гульм Еламановна;Северо-Казахстанская область, Тимирязевский район с. Тимирязево ул. Валиханова 9;8-7153-72-16-02;150221@sud.kz;
Уалихановский районный суд;Районный суд;Северо-Казахстанская область;Темирбеков Серик Турсумбаевич;Северо-Казахстанская область, Уалихановский район с. Кишкенеколь, ул. Уалиханова, 117;8-7154-22-13-78;150222@sud.kz;
Специализированный межрайонный административный суд Северо-Казахстанской области;Специализированный административный суд;Северо-Казахстанская область;Мустафин Бердибек Ермекович;Северо-Казахстанская область, г.Петропавловск ул.Бруссиловского 60;-;-;
Специализированный суд по административным правонарушениям города Петропавловска;Специализированный административный суд;Северо-Казахстанская область;Шамуратов Дамир Еркинович;Северо-Казахстанская область, г.Петропавловск ул.Горького 209 А;8-7152-49-04-83;150201@sud.kz;
Специализированный межрайонный экономический суд Северо-Казахстанской области;Специализированный экономический суд;Северо-Казахстанская область;Жайжуманов Бауыржан Абаевич;Северо-Казахстанская область, г. Петропавловск, ул. Брусиловского, 60;8-7152-55-50-55;150203@sud.kz;
Специализированный межрайонный суд по уголовным делам Северо-Казахстанской области;Суд по уголовным делам;Северо-Казахстанская область;Викторенко Сергей Васильевич;Северо-Казахстанская область, г.Петропавловск, ул.Горького, 209А;8-7152-46-52-29;150202@sud.kz;
Специализированный следственный суд города Петропавловска Северо-Казахстанской области;Следственный суд;Северо-Казахстанская область;Қайратұлы Дәурен;"Северо-Казахстанская область, г. Петропавловск, ул. Горького 209;";87152 -36-08-08;150258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Северо-Казахстанской области;Суд по делам несовершеннолетних;Северо-Казахстанская область;Жанаков Айдархан Ержанович;Северо-Казахстанская область, г.Петропавловск ул.Горького, 209;8-7152-36-14-60;150204@sud.kz;
Администратор судов по Северо-Казахстанской области;Администратор судов (Судебная администрация);Северо-Казахстанская область;Саутов Биржан Абдимуталипович;"Северо-Казахстанская область, г.Петропавловск, ул. Горького 209;";8 -7152-55-11-90;1501@sud.kz;
Туркестанский областной суд;Областной суд;Туркестанская область;Мыятбеков Турысбек Ерболганович;Туркестанская область, г.Туркестан, ул. Нышанова, б/н;8-72533-75-074;725-0001@sud.kz;
Туркестанский городской суд;Городской суд;Туркестанская область;Жанбырбаева Айгуль Махмутовна;Туркестанская область, город Туркестан, ул.К.Байсеитова б/н;8-7253-34-20-46;725-4001@sud.kz;
Байдибекский районный суд;Районный суд;Туркестанская область;Каракулов Ермек Жанабайулы;Туркестанская область, Байдибекский район, село Шаян, улица Караманулы №50;8-7254-82-16-78;725-4601@sud.kz;
Казыгуртский районный суд;Районный суд;Туркестанская область;Тогызбаев Ильяс Жумабекулы;Туркестанская область, Казыгуртский район, село Казыгурт, ул. Ш.Уалиханова б/н;8-7253-92-11-75;725-3701@sud.kz;
Келесский районный суд;Районный суд;Туркестанская область;Абубакир Канат Акимжанулы;Туркестанская область, Келесский район, село Абай, ул.Конаева 38;8-7253-23-06-92;725-3401@sud.kz;
Мактаральский районный суд;Районный суд;Туркестанская область;Мусаев Кунанбай Абибуллаевич;Туркестанская область, Махтааральский район, поселок Мырзакент, ул.Мадиходжаев 17;8-725-41-2-15-46;725-3001@sud.kz;
Сайрамский районный суд;Районный суд;Туркестанская область;Дуйсебеков Курмангали Дуйсебекович;Туркестанская область, Сайрамский район, село Ақсу, ул.Жандарбекова 8;8-7253-12-25-59;725-3901@sud.kz;
Сарыагашский районный суд;Районный суд;Туркестанская область;Шетенов Нурказы Бектаевич;Туркестанская область, Сарыагашский район, город Сарыагаш, ул.Майлы-Қожа б/н;8-7253-72-26-11;725-3301@sud.kz;
Сузакский районный суд;Районный суд;Туркестанская область;Дәуренбеков Ақылбек Сергейұлы;Туркестанская область, Созакский район, село Шолаккорган, ул.Жибек-жолы б/н;8-7254-64-22-48;725-4101@sud.kz;
Толебийский районный суд;Районный суд;Туркестанская область;Сейтжапбаров Жанибек Алибекович;Туркестанская область, Толебиский район, город Ленгер, ул. Айтеке би 16;8-7254-76-13-41;725-4501@sud.kz;
Тюлькубасский районный суд;Районный суд;Туркестанская область;Бекназаров Маратали Усербаевич;Туркестанская область, Тюлькубасский район, село Т.Рысқұлов, улица Т.Рысқұлов б/н;8-7253-52-25-95;725-4301@sud.kz;
Шардаринский районный суд;Районный суд;Туркестанская область;И.о. Ондыбаева Светлана Рысбековна;Туркестанская область, Шардаринский район, город Шардара, ул.Төлеби, 31;8-7253-52-25-69;725-3601@sud.kz;
Специализированный межрайонный административный судТуркестанской области;Специализированный административный суд;Туркестанская область;Шарипов Марат Ырсынбетұлы;Туркестанская область, город Туркестан, ул. Т.Нышанова;-;-;
Специализированный суд по административным правонарушениям Сарыагашского района;Специализированный административный суд;Туркестанская область;Каипов Берик Бекмуратович;Туркестанская область, Сарыагашский район, город Сарыагаш, ул.Майлы Кожа б/н;8-7253-72-35-33;725-3201@sud.kz;
Специализированный суд по административным правонарушениям города Туркестана Туркестанской области;Специализированный административный суд;Туркестанская область;Ешпанов Нурбол Алиакпарулы;Туркестанская область, город Туркестан, ул. Тауке хана, 256;8-725-33-4-09-44;725-1910@sud.kz;
Специализированный межрайонный экономический суд Туркестанской области;Специализированный экономический суд;Туркестанская область;Рыскулбеков Курасбек Онласбекович;Туркестанская область, город Туркестан, квартал №160, б/н;8-725-33-5-97-04;725-2401@sud.kz;
Специализированный межрайонный суд по уголовным делам Туркестанской области;Суд по уголовным делам;Туркестанская область;Калмагамбетов Касым Серикович;Туркестанская область, город Туркестан, ул.Тауке хана, 256;8-725-33-4-10-59;725-2001@sud.kz;
Специализированный следственный суд города Туркестана Туркестанской области;Следственный суд;Туркестанская область;Лебаев Адильбек Гуламович;Туркестанская область, город Туркестан, ул. Тауке хана, 256;8-725-33-4-10-64;725-2802@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних Туркестанской области;Суд по делам несовершеннолетних;Туркестанская область;Конырбаев Канатбек Досаевич;Туркестанская область, город Туркестан, ул. Тауке хана, 256;8-725-33-4-09-40;725-2201@sud.kz;
Администратор судов по Туркестанской области;Администратор судов (Судебная администрация);Туркестанская область;Мақұлбаев Жеңіс Тілләбайұлы;"Туркестанская область, город Туркестан, ул.К.Татибаева 27 ""б""";8-725-33-7-50-75;725-0007@sud.kz;
Алматинский городской суд;Городской суд;г. Алматы;Смайлов Аскар Спартакович;г.Алматы, ул. Казыбек Би 66;8-727-330-88-01;727-0441@sud.kz;
Районный суд №2 Алмалинского района;Городской суд;г. Алматы;Толегенов Серик Кенесович;"г.Алматы, ул.Толеби, 267;";8-727-333-11-56;727-2872@sud.kz;
Районный суд №2 Ауэзовского района;Городской суд;г. Алматы;Аркинов Даулет Аркинович;"г. Алматы, ул.Куанышбаева, 44-а;";8-727-333-12-00;727-3204@sud.kz;
Районный суд №2 Бостандыкского района;Городской суд;г. Алматы;И.о. Кван Елена Робертовна;"г.Алматы, ул. Карасай батыра, 85;";8-727-333-12-48;727-3660@sud.kz;
Районный суд №2 Жетысуского района;Городской суд;г. Алматы;И.о. Байболов Сержан Калимолданович;"г.Алматы, ул.Сейфуллина, 286 а;";8-727-333-12-82;727-4060@sud.kz;
Районный суд №2 Медеуского района;Городской суд;г. Алматы;Маликова Айгуль Шарифхановна;"г. Алматы, ул.Карасай батыра 85;";8-727-333-13-35;727-4801@sud.kz;
Алатауский районный суд;Районный суд;г. Алматы;Бекбатыр Ғалым Шәріпханұлы;г.Алматы, ул.Жанкожа батыра, 26;8-727-333-14-01;727-4601@sud.kz;
Алмалинский районный суд;Районный суд;г. Алматы;Ешеев Ардак Болатханович;"г.Алматы, ул.Шарипова, 52;";8-727-333-11-16;727-2664@sud.kz;
Ауэзовский районный суд;Районный суд;г. Алматы;Сырлыбаев Канат Кадирович;"г.Алматы, ул.Куанышбаева, 44-а;";8-727-333-11-72;727-3001@sud.kz;
Бостандыкский районный суд;Районный суд;г. Алматы;Тлеубаев Даурен Ниязбекович;"г.Алматы, мкр. Орбита-2, дом 20-а;";8-727-333-12-41;727-3485@sud.kz;
Жетысуский районный суд;Районный суд;г. Алматы;Хожабергенов Мурат Амангельдиевич;"г. Алматы, ул. Сейфуллина, 286;";8-727-333-12-71;727-3865@sud.kz;
Медеуский районный суд;Районный суд;г. Алматы;Боранбаев Асет Канатулы;"г. Алматы, ул.Нусупбекова 34;";8-727-333-13-00;727-4201@sud.kz;
Наурызбайский районный суд;Районный суд;г. Алматы;И.о. Оспанова Дарига Казбековна;"г. Алматы, мкр.Шугыла дом 222/1;";8-727-333-13-51;727-4760@sud.kz;
Турксибский районный суд;Районный суд;г. Алматы;Мухамбетжан Жомарт Амантайулы;"г.Алматы ул. Спартака 11;";8-727-333-13-74;727-4404@sud.kz;
Специализированный межрайонный административный суд г. Алматы;Специализированный административный суд;г. Алматы;Бегалиев Бахытбек Адильханович;"г. Алматы, ул. Карасай батыра, 85;";-;-;
Специализированный суд по административным правонарушениям г. Алматы;Специализированный административный суд;г. Алматы;Тажиханов Бакытжан Абдисаттарович;"г. Алматы, ул. Маркова 34;";8-727-333-10-01;727-1860@sud.kz;
Специализированный межрайонный экономический суд г. Алматы;Специализированный экономический суд;г. Алматы;Ерзаков Мухамеджан Темирханович;"г. Алматы, ул.Байзакова 273 б;";8-727-333-10-61;727-2460@sud.kz;
Специализированный межрайонный суд по уголовным делам г. Алматы;Суд по уголовным делам;г. Алматы;Какимжанов Мартпек Ашимович;"г.Алматы, ул.Карасай батыра 85;";8-727-333-14-18;727-2060@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних г. Алматы;Суд по делам несовершеннолетних;г. Алматы;И.о. Кенесова Самал Жолмуратовна;"г.Алматы ул. Маркова 34;";8-727-333-11-05;727-2201@sud.kz;
Военный суд Алматинского гарнизона;Военный суд;г. Алматы;Жексембиев Нуркен Жакыпович;г.Алматы, ул.Тимирязева,48;8-7273-33-14-22;020217@sud.kz;
Администратор судов по городу Алматы;Администратор судов (Судебная администрация);г. Алматы;Кужахметов Ержан Кайроллаевич;г.Алматы ул. Казыбек Би 66;8-727-330-91-04;727-0007@sud.kz;
Верховный Суд Республики Казахстан;Верховный суд;г. Астана;Асанов Жакип Кажманович;г.Нур-Султан, ул. Кунаева, 39;8-7172-71-02-70;707-0004@sud.kz;
Департамент по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарат Верховного Суда Республики Казахстан);Верховный суд;г. Астана;Ахметзакиров Наиль Рафисович;г.Нур-Султан, ул. Кунаева, 39;8-7172-71-02-70;707-0203@sud.kz;
Районный суд № 2 Алматинского района;Городской суд;г. Астана;Байбосынова Сандугаш Досановна;г.Нур-Султан, пр.Победы, 15 а;8-7172-71-04-42;010202@sud.kz;
Районный суд № 2 Есильского района;Городской суд;г. Астана;Есенов Бахытжан Жуманалиевич;г.Нур-Султан, ул.Сауран 32, блог А;8-7172-55-98-90;010206@sud.kz;
Районный суд № 2 Сарыаркинского района;Городской суд;г. Астана;Карабаев Абинур Бердыбекович;г.Нур-Султан, пр.Победы д.15 а;8-7172-71-04-14;010204@sud.kz;
Суд города Нур-Султан;Городской суд;г. Астана;Барпибаев Тлектес Ешеевич;г.Нур-Султан, ул.Сауран 32, блог B;8-7172-55-20-79;0101@sud.kz;
"суд №2 района ""Байқоңыр"" г.Нур-Султан";Городской суд;г. Астана;Имашев Кеменгер Болатович;г.Нур-Султан, пр. Победы, 15 а;8-7172-71-04-47;010221@sud.kz;
Алматинский районный суд;Районный суд;г. Астана;Бакишев Асан Болатович;г.Нур-Султан, ул.Абая 36;8-7172-71-06-03;010201@sud.kz;
Есильский районный суд;Районный суд;г. Астана;Мажитов Руслан Бакытжанович;г.Нур-Султан, ул. Сауран 32, блог А;8-7172-55-98-74;010205@sud.kz;
Сарыаркинский районный суд;Районный суд;г. Астана;Пернекулова Жанира Айдарбековна;г.Нур-Султан, ул. Желтоксан, 43/1;8-7172-71-04-67;010203@sud.kz;
"Суд района ""Байқоңыр"" г.Нур-Султан";Районный суд;г. Астана;Шамиев Нурбол Сунгатович;г.Нур-Султан, пр.Абая 36;8-7172-71-06-04;010229@sud.kz;
Специализированный межрайонный административный суд г.Нур-Султан;Специализированный административный суд;г. Астана;вакансия;г.Нур-Султан, ул.Мангилик Ел, 10;-;-;
Специализированный суд по административным правонарушениям г.Нур-Султан;Специализированный административный суд;г. Астана;Ахметкалиев Бауыржан Нурсапанович;г.Нур-Султан, пр. Тауелсиздик 34/1;8-7172-71-08-01;010208@sud.kz;
Специализированный межрайонный экономический суд г.Нур-Султан;Специализированный экономический суд;г. Астана;И.о. Нурланов Болат Келденович;г.Нур-Султан, ул.Сауран 32, блог С;8-7172-55-24-85;010207@sud.kz;
Специализированный межрайонный военный суд по уголовным делам;Суд по уголовным делам;г. Астана;Сатыбалдин Мирас Калиевич;г.Нур-Султан, ул. Омарова,57;8-7172-71-05-51;020218@sud.kz;
Специализированный межрайонный суд по уголовным делам г.Нур-Султан;Суд по уголовным делам;г. Астана;И.о. Мекемтас Қажымұқан Мекемтасұлы;г.Нур-Султан, ул. Омарова, 57;8-7172-71-05-45;010210@sud.kz;
Специализированный межрайонный следственный суд города Нур-Султан;Следственный суд;г. Астана;Копбосынов Тимур Нурланович;г.Нур-Султан, ул.Сауран 32, блог А;8-7172-55-42-37;010258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних города Нур-Султан;Суд по делам несовершеннолетних;г. Астана;Алпысбаева Жанаргуль Кабылдааевна;г.Нур-Султан, ул. Есенберлина, 30/1;8-7172-71-08-81;010209@sud.kz;
Администратор Военного суда;Военный суд;г. Астана;Алмашов Нуртай Жолтаевич;г.Нур-Султан, ул. Омарова,57;8-7172-71-02-04;714-6064@sud.kz;
Военный суд Акмолинского гарнизона;Военный суд;г. Астана;И.о. Ақпар Ринат Миратұлы;г.Нур-Султан, ул. Омарова,57;8-7172-71-05-58;010211@sud.kz;
